school_id,school_name
1,Institute of Technical Education
2,LASALLE College of the Arts (Degree)
3,LASALLE College of the Arts (Diploma)
4,Nanyang Academy of Fine Arts (Degree)
5,Nanyang Academy of Fine Arts (Diploma)
6,Nanyang Polytechnic
7,Nanyang Technological University
8,National Institute of Education
9,National University of Singapore
10,Ngee Ann Polytechnic
11,Republic Polytechnic
12,Singapore Institute of Technology
13,Singapore Management University
14,Singapore Polytechnic
15,Singapore University of Social Sciences
16,Singapore University of Technology and Design
17,Temasek Polytechnic
